Location,Hospital_Name,State,District,Pincode
"Janswar Vision Charitable Trust, No-01, Ganeshan Street, Pammal Main Road, Krishna Nagar, Pammal",Sree Sai Eye Hospital,Tamil Nadu,Kanchipuram,600075
"17, Pillayar Koil Street, Krishna Nagar, Pammal",Subhikshaa Hospital Pvt Ltd,Tamil Nadu,Kanchipuram,600075
"No.1/2 Amaravathy Street, Bharath Nagar, Adambakkam, Chennai - 600 088",Caps Dental Clinic and Face and Jaw Centre,Tamil Nadu,Kanchipuram,600088
"3,Medavakkam Road,Adambakkam,",K.P.Childrens HospitalandNeuro Centre,Tamil Nadu,Kanchipuram,600088
"R- 30- C Ambattur Industrial Estate Road, Mogappair,",M/S Frontier Life Line Hospital,Tamil Nadu,Kanchipuram,600088
"1, Kakkan Nagar 1St Main Road, Adambakkam,",Ponmalligai Hospital Pvt Ltd,Tamil Nadu,Kanchipuram,600088
"28, Vellala East 2Nd Street, Adambakkam,",Sarathy Nursing Home,Tamil Nadu,Kanchipuram,600088
"No 11, Vellalar 1St Street, Adambakkam,",Sp Hospital,Tamil Nadu,Kanchipuram,600088
"4/112,Mount Poonamallee Road Manapakkam,",Centre For Thoracic And Cardio Vascular Care,Tamil Nadu,Kanchipuram,600089
"4/112, Mount Poonamalee Road, Manapakkam,",Miot Hospitals,Tamil Nadu,Kanchipuram,600089
"No: 3/49, Valluvar Salai, Ramapuram,",Roy's Heart Foundation,Tamil Nadu,Kanchipuram,600089
"No.1, Padmavathy Street, Thirumalai, Ramapuram,",Srushti Hospital,Tamil Nadu,Kanchipuram,600089
"23, Medavakkam Main Rd,Near K.K.Mahal,Madipakkam.",Anjaka Hospital,Tamil Nadu,Kanchipuram,600091
"No. 20, Medavakkam Main Road, Madipakkam",Dr Jacquline Divyananda Divya Hospital),Tamil Nadu,Kanchipuram,600091
"280/2 Ponnaimman Koil Street, Chennai.",Kumar Clinic,Tamil Nadu,Kanchipuram,600091
"1, 2Nd Cross Street, Kannan Nagar, Madipakkam,","Lifeline Hospital , Madipakkam",Tamil Nadu,Kanchipuram,600091
Neyvelli-2,Ponni Hospital,Tamil Nadu,Kanchipuram,600091
"92/A, Bazaar Road, Sadasiva Nagar, Nr Ram Nagar Bus Stop, Madipakkam",Saraswathy Speciality Hospitals,Tamil Nadu,Kanchipuram,600091
"Plot No. 5, Medavakkam Main Road, Madipakkam,Near Madipakkam Koot Oad,",Sibi Hospital,Tamil Nadu,Kanchipuram,600091
".39, Sabari Salai,,Madipakkam,.",Sri G.M.Hospital,Tamil Nadu,Kanchipuram,600091
"2/93, 2Nd Main Rod, Ragavanagar, Madipakkam,",Thirimoorthys Heart Care Hospital,Tamil Nadu,Kanchipuram,600091
"No: 683/5, Mahalingam Street ( Near Sbi ) Madipakkam",Vasan Eye Care Hospital,Tamil Nadu,Kanchipuram,600091
"No-5/639, Rajiv Gandhi Salai(Omr), Mahabalipuram Road, Perungudi, Chennai",Lifeline Multispeciality Hospital - Chennai,Tamil Nadu,Kanchipuram,600096
"168, Chandrasekaran Avenue, O.M.R, Thoraipakkam, Opposite To P.T.C Bus Stop",Nanthini Hospital,Tamil Nadu,Kanchipuram,600096
"5/91, Church Road, Perungudi, Near Andrew Yulex Colony, Chengalpattu",Sri Lakshmi Multi Speciality Hospital Pvt Ltd,Tamil Nadu,Kanchipuram,600096
"No.5&6,Palaniappa Nagar,Sriranga Garden",Fracture OrthopedicsandJoint Replacement,Tamil Nadu,Kanchipuram,600097
"17, First Main Road Iit Colony",Balagandhara Varma Nursing Home and Research Center,Tamil Nadu,Kanchipuram,600100
"No. 1, Radial Road,Pallikaranai, Near Velachery Bus Stand,Chennai",Dr. Kamakshi Memorial Hospital,Tamil Nadu,Kanchipuram,600100
"No 49, Aruot Road Porur Porur Chennai",Dr Agarwals Eye Hospital Ltd,Tamil Nadu,Kanchipuram,600116
"19, Vinayagapuram, Mugalivakkam Main Road Porur",M S Kedar Hospital,Tamil Nadu,Kanchipuram,600116
"36, Poothapedu Main Road, Vengadeswar Nagar, Perur",Viganesh Hospital,Tamil Nadu,Kanchipuram,600116
"G-1,Thiruvalluvar Narar Main Road, Keelkattalai",Lakshmi Clinic,Tamil Nadu,Kanchipuram,600117
"No. 70, Medavakkam Main Road, Next To Subiksha Super Market, Keelkattalai, Chennai",Vijayam Hospital,Tamil Nadu,Kanchipuram,600117
No:3/225 Kundrathur Main Road Kovur,Kanaga Hospital,Tamil Nadu,Kanchipuram,600122
"234, Wallajah Main Rd,,Opposite Indian Oil Petrol Bunk.",Sayee Hospitals,Tamil Nadu,Kanchipuram,601301
"Bangalore High Road,Sunguvarchatram",Anitha Nursing Home,Tamil Nadu,Kanchipuram,602105
"Chenglepet Road, Opposite To Tvs Axles India, Sriperumbudur, Kancheepuram.",Deepika Eye Care Hospital,Tamil Nadu,Kanchipuram,602105
"70, Gandhi Road Sriperumbudur",Dr P K Vijaya Ganapathy Hospital,Tamil Nadu,Kanchipuram,602105
"Brindavan, Maduvankarai, Sriperumbuder, Kanchipuram-",Kshetropasna Medical Trust Ayurveda Hospital,Tamil Nadu,Kanchipuram,602105
"No 76, Bangalore Main Road, Mg Nagar Sriperumbudur",Pandian Hospital,Tamil Nadu,Kanchipuram,602105
Chingelpet Sriperambudur Sriperumbudur,Prepare Hospital,Tamil Nadu,Kanchipuram,602105
"No:14, Varadhanar Street Vedachala Nagar Chengalpattu",Balaji Hospital,Tamil Nadu,Kanchipuram,603001
"No,19, Devadoss Steet, Vedachelam Nagar, Chenglpattu",Beent Hospital,Tamil Nadu,Kanchipuram,603001
"70, Kanchipuram High Road, Chengalpattu, Near To Chengalpattu By Pass Connection Of Kancheepuram High Road",J S P Hospital,Tamil Nadu,Kanchipuram,603001
"55, Dr. Varadharajan Street, Vedhachala Nagar, Chengalpattu, Chengalpet,",J. J. Hospital,Tamil Nadu,Kanchipuram,603001
"21, Devarajan Street,.",Nambi Nursing Home and Research Centre,Tamil Nadu,Kanchipuram,603001
"No12,Varada Reddy Street, Vedachala Nagar,Chengalpat",Sri Ranga Nursing Home,Tamil Nadu,Kanchipuram,603001
"No. 11-A, Varadhanar Street, Vedachalanagr, Chengalapttu",Sri Venkatramana Hospital,Tamil Nadu,Kanchipuram,603001
"No 21-A Devarajanar Street,Vedachala Nagar Chengalpattu",Sundaram Hospital,Tamil Nadu,Kanchipuram,603001
"50, J.C.K. Nagar,.",Vidhya Nursing Home,Tamil Nadu,Kanchipuram,603002
"Chettinad Health City, It Highway Omr Road,Rajiv Gandhi Salai, Kelambakam,",Chettinad Hospital,Tamil Nadu,Kanchipuram,603103
"Thirukulam Street, Mamalla Puram",Suradeep Hospital,Tamil Nadu,Kanchipuram,603104
"Srm Nagar, Potheri Kattankulathur Kattankulathur",Srm Hospital And Research Centre,Tamil Nadu,Kanchipuram,603203
"No.4/324, Nethaji Street, Singaperumal Koil,",Muthu Ganapathy Hospital,Tamil Nadu,Kanchipuram,603204
"1 / 120, Bharathiyar Street, Singaperumalkoil,",Sree Sakthi Hospital,Tamil Nadu,Kanchipuram,603204
"100 Ft Road, Hindu Colony, Kancheepuram",Hindu Mission Health Services,Tamil Nadu,Kanchipuram,603209
"No:12,Mgr Salai,Nh-I,Hig,Marai Malai Nagar,Kancheepuram",J.S.Hospital,Tamil Nadu,Kanchipuram,603209
"1, Nhii, Kammbar Street Kancheepuram",Surya Hospital,Tamil Nadu,Kanchipuram,603209
Melmaruvathur-,Malmaravathur Adhiparasakthi Institute Of Medical,Tamil Nadu,Kanchipuram,603319
"G.S.T.Road,Temple Back Side,.",Mapims( Melmaruvathur Adhiparasakthi Institute Of Medical Sciences and Research,Tamil Nadu,Kanchipuram,603319
Melmaruvathur,Melmaruvathur Adhiparasakthi Institute Of Medical,Tamil Nadu,Kanchipuram,603319
21 A Hospital Road,Csi Hospital,Tamil Nadu,Kanchipuram,631501
"No: 32-B, Indira Gandhi Road, Kancheepuram",Dr Agarwals Eye Hospital Ltd,Tamil Nadu,Kanchipuram,631501
"4, Ennaikkara Street, Kancheepuram,",Malikeswari Clinic,Tamil Nadu,Kanchipuram,631501
"Railway Road, Kanchipuram",Manohar General Hospital,Tamil Nadu,Kanchipuram,631501
"Polayathode, Kollam",Modern Urology Centre - Kollam,Tamil Nadu,Kanchipuram,631501
"No 5,Nadu Street,Sheikpet,Kancheepuram",Sri D.K.K. Hospital,Tamil Nadu,Kanchipuram,631501
"45, Kamarajar St.,Kanchilpuram",V.S.R Ortho Hospital,Tamil Nadu,Kanchipuram,631501
"No 1, Vallal Pachaiyappan St,",Vasan Eye Care Hospital,Tamil Nadu,Kanchipuram,631501
"No.14,Ulagalandha Perumal Kovil Sannathi Street,Big Kanchipuram",Adi Bhagavatpada Cardiac and Dialysis Hospital,Tamil Nadu,Kanchipuram,631502
Hospital Road Kancheepuram Kancheepuram,Church Of South India Hospital,Tamil Nadu,Kanchipuram,631502
"Chittur Road, Palakkad Between Fort Maidan & Manapullikkavu Between Fort Maidan & Manapullikkavu",Lakshmi Hospital,Tamil Nadu,Kanchipuram,631502
"7B,Aram Valatheeswaran Kovil Street,Kanchipuram-",Senthil Maternity Center,Tamil Nadu,Kanchipuram,631502
"Enathur, Kancheepuram Enathur Village",Meenakshi Medical College Hospital And Research Institute,Tamil Nadu,Kanchipuram,631552
"Udayar Bilia, Colachel\n",Robin Hospital,Tamil Nadu,Kanniyakumari,629251
16 Nagercoil Nagercoil,Ag Hospital And Diagnostic Care Centre,Tamil Nadu,Kanniyakumari,629001
"Meenakshipuram,.",Ananthi Hospital,Tamil Nadu,Kanniyakumari,629001
"287 A, Avvai Shanmugam Road, Ozhuginasery, Nagercoil",Balasundaram - Shyamala Hospital,Tamil Nadu,Kanniyakumari,629001
R V Puram,Dr M Gopala Pillais Jawahar Hospital,Tamil Nadu,Kanniyakumari,629001
"No:34-F, Distillary Road, Nagercoil",Dr. Anto Ent Head and Neck Hospital,Tamil Nadu,Kanniyakumari,629001
"Ramavarmapuram,  Nagercoil,",Dr. Gopala Pilla`S Hospital,Tamil Nadu,Kanniyakumari,629001
"Kottar-Parvathipuram Road,Near Palpannai Bus Stop.",Dr. J. Mathias Hospital,Tamil Nadu,Kanniyakumari,629001
K.P.Road Nagerkoil,Dr.Jeyasekaran Medical Trust,Tamil Nadu,Kanniyakumari,629001
"Dr.Mathias Nagar, Nagercoil",Dr.Morris Mathias Hospital,Tamil Nadu,Kanniyakumari,629001
"Eilliam Hospital Complexkrishnancoil,Nagercoil. 1",Gautham Nursing,Tamil Nadu,Kanniyakumari,629001
"Vaithanathapuram, Nagercoil-2",George Mission Hospital,Tamil Nadu,Kanniyakumari,629001
Nagercoil Nagercoil Nagercoil,Gopalapillai Hospital,Tamil Nadu,Kanniyakumari,629001
"26/1 - 78,Asaripallam Road,Nagercoil",Irene Hospital,Tamil Nadu,Kanniyakumari,629001
"1- Sannathi Street, Krishnan Koil, Nagercoil",J. K. Hospital,Tamil Nadu,Kanniyakumari,629001
No 246 A K.P Road Nager Coil,James Orthopaedic Clinic,Tamil Nadu,Kanniyakumari,629001
"179/3, Ganesapuram Road, Nagercoil, Nagercoil,",Joseph Sahaayam Speciality Hospitals,Tamil Nadu,Kanniyakumari,629001
Nagercoil,Kanyakumari Medical Mission,Tamil Nadu,Kanniyakumari,629001
"Kottar, Nagercoil",Lekshmi Hospital,Tamil Nadu,Kanniyakumari,629001
"Ramanputhur Junction, Nagercoil",Little Flower Hospital,Tamil Nadu,Kanniyakumari,629001
"Therekal Puthoor,Tirunelveli Road,Ganesan Sae Mill.",Manuel Orthopaedic Hospital,Tamil Nadu,Kanniyakumari,629001
"9/1, Watertank Road,Near Bsnl Office.",Maria Diabetic And Diagnostic Centre,Tamil Nadu,Kanniyakumari,629001
"K.P.Road, Mathias Nagar, Nagercoil",Moses Mathias Hospital,Tamil Nadu,Kanniyakumari,629001
"K.P.Road, Mathias Nagar, Nagercoil",Muthunayagam Hospital,Tamil Nadu,Kanniyakumari,629001
"Uthuvilai, Thalakulam",P S Medical Trust Hospital,Tamil Nadu,Kanniyakumari,629001
"No.1, Perianadar Street,P.W.D. Road,Opposite Police Quarters.",Ramamurthy Hospital,Tamil Nadu,Kanniyakumari,629001
Collectorate Junction Nagercoil Nagercoil Nagercoil,Raman Hospital,Tamil Nadu,Kanniyakumari,629001
"Cbh Road,Arughvilai,Nagercoil",S J Nursing Home,Tamil Nadu,Kanniyakumari,629001
"18, Cave St,,.",S.R.Kidney Care Hospital,Tamil Nadu,Kanniyakumari,629001
"29/1 -172, College Rd,,.",Sam Hospital,Tamil Nadu,Kanniyakumari,629001
54 Asambu Road Vadasery Nagercoil,Saradha Clinic,Tamil Nadu,Kanniyakumari,629001
"5/146-2, Tirunelvely Main Road,Therekalputhoor,Thirupathisaram (Po).",Srinivasa Hospitals,Tamil Nadu,Kanniyakumari,629001
"215, Opposite S.M.R.V. School, Vadasery, Nagercoil",Subam Hospitals,Tamil Nadu,Kanniyakumari,629001
135-B Balamore Road Puthery Nagercoil,Sudha Sundar Hospital,Tamil Nadu,Kanniyakumari,629001
"Cbh,Assambu Road, Puther.",The Salvation Army Catherine Booth Hospital,Tamil Nadu,Kanniyakumari,629001
"2/191, Tirunelveli, Main Road, Therekal Puthoor, Thirupathi Saram Post",Thiraviam Orthopaedic Hospital,Tamil Nadu,Kanniyakumari,629001
"K.P. Road,Parvathipuram.",Trust Hospital,Tamil Nadu,Kanniyakumari,629001
"North Car Street, Near Nagaraja Temple Nagercoil",Umar Hospital,Tamil Nadu,Kanniyakumari,629001
"No 56/57, M S Road Vadesry, Nagercoil",Vasan Eye Care Hospital,Tamil Nadu,Kanniyakumari,629001
Dennison Road Nagercoil Nagercoil,Vasantham Health Centre Pvt Ltd,Tamil Nadu,Kanniyakumari,629001
252 Vetoornimadam Nagercoil Nagercoil,Willam Hospital,Tamil Nadu,Kanniyakumari,629001
"Kottar, Nagercoil Kanniyakumari",Abdul Khadir Hospital,Tamil Nadu,Kanniyakumari,629002
"7/33, Natarajapuram Street,Meenakshipuram,In Fornt Of A.S. T. Kalyana Mandapam.",Dr. Ezhilarasu Children And Specialities Hospital,Tamil Nadu,Kanniyakumari,629002
"28,Rukmani Subramonium Hall, Thalavai Street, Meenakshipuram,Nagercoil",Dr.Thanappans Children Hospital,Tamil Nadu,Kanniyakumari,629002
"6, Saraloor, Hindu College Road",Ganesamoni Nursing Home,Tamil Nadu,Kanniyakumari,629002
"Eathamozhy Road,,Kottar.",George Mission Hosital,Tamil Nadu,Kanniyakumari,629002
"K P Road Nagercoil, 11",Inba Hospital,Tamil Nadu,Kanniyakumari,629002
Near Hindu College Nagercoil Nagercoil,Irudayams Hospital,Tamil Nadu,Kanniyakumari,629002
"Dvd Colony,Near Xavarier Coil Jn.,Kottar.",Kumaravelu Hospital,Tamil Nadu,Kanniyakumari,629002
"Kottar,Edalakudi Main Rd,,.",Lakshme Hospital,Tamil Nadu,Kanniyakumari,629002
"Ethamolhy Road,Kottar .",Latha Nursing Home,Tamil Nadu,Kanniyakumari,629002
"500,Cape Road, Kottar, Nagercoil",M.P. Children Hospital,Tamil Nadu,Kanniyakumari,629002
"74/40,Vaagayadisouthcar, Kottar, Nagercoil",Padma Hospital,Tamil Nadu,Kanniyakumari,629002
Chettikulam Jn.Nagercoil.-2,Sankaralingom Hospital,Tamil Nadu,Kanniyakumari,629002
"Edalakudy, Nagercoil,",Sri Ram Orthopaedic Hospital,Tamil Nadu,Kanniyakumari,629002
"Old No-177B/New No-236, Chithambaranagar Chithambaranagar",Thangam Hospital,Tamil Nadu,Kanniyakumari,629002
"2/1, 313 C, M.S. Road, Vettoornimadam, Kanyakumari, Nagercoil,",Bejan Singh Eye Hospital,Tamil Nadu,Kanniyakumari,629003
Kalliancaud Nagercoil,Bensam Hospital and Surgical Nursing Home,Tamil Nadu,Kanniyakumari,629003
"1159, K P Road Nagercoil Nagercoil",Dr Jeyasekharan Hospital And Nursing Home,Tamil Nadu,Kanniyakumari,629003
"15-258 A-1, Trivandrum Road,Near Over Bridge,Parvathipuram, Kalkulam.",Franklin Hospital,Tamil Nadu,Kanniyakumari,629003
"Vettoornimadam, Near By Vadasery Bus Stand,",Holy Cross Hospital,Tamil Nadu,Kanniyakumari,629003
"No. 15/820, Kalliamcaud Junction,",Sushrushah Medicare Centre,Tamil Nadu,Kanniyakumari,629003
"Punnai Nagar,,.",M.L.Hospital,Tamil Nadu,Kanniyakumari,629004
"Karungal P.O.,",Nirmala Hospital,Tamil Nadu,Kanniyakumari,629152
"Ppm Junction,Near C.S.T.Chruch,Vilavancode.",Grace Hospital and Nursing Home,Tamil Nadu,Kanniyakumari,629153
Nithiravilai & Co.,Pius Hospital,Tamil Nadu,Kanniyakumari,629154
"College Road,.",St.Mary's Hospital,Tamil Nadu,Kanniyakumari,629154
014-70N 14-32 Chankai Kanjiracode Kanjiracode,Sigma Hospital,Tamil Nadu,Kanniyakumari,629155
Iv 677/6-44/C1 Periyakadai Road Paloor Karungal,Aaron Hospital,Tamil Nadu,Kanniyakumari,629157
"Kouanvillai Road, Opposite Post Office - Karungal",Annai Hospital,Tamil Nadu,Kanniyakumari,629157
"267, New Junction Karungal",Shamroth Surgical Hospital,Tamil Nadu,Kanniyakumari,629157
Pulippuram Pulippuram Pulippuram,Jmj Latha Hospital,Tamil Nadu,Kanniyakumari,629158
"11-208, Tvm Main Road, Swamiyarmadam, Kattathurai(Po)",Rathna Memorial Hospital,Tamil Nadu,Kanniyakumari,629158
Swamiyarmadam Kattathurai Marthandam Marthandam,Vijayakumar Hospital,Tamil Nadu,Kanniyakumari,629158
"Erumbili Junction, Colachel, Reethapuram P.O",Binu Medical Center (Bmc Heart Care Hospital),Tamil Nadu,Kanniyakumari,629159
"Udayar Villai,,.",Robin Hospital,Tamil Nadu,Kanniyakumari,629159
"Convent Junction,.",Jaya Hospital,Tamil Nadu,Kanniyakumari,629161
Main Road Kulasekaram Kulasekaram,Justin Hospital,Tamil Nadu,Kanniyakumari,629161
"Market Junction,,.",Radha Krishnan Hospital,Tamil Nadu,Kanniyakumari,629161
V.P.M. Hospital Complex Pada Nilam P.O. Kulasekharam,Sree Mookambika Institute Of Medical Sciences Hospital,Tamil Nadu,Kanniyakumari,629161
"Main Rd,,Vilavancode Taluk.",Annammal Hospital,Tamil Nadu,Kanniyakumari,629163
"Main Road,,Vilavancode.",Pauls Memorial Hospital,Tamil Nadu,Kanniyakumari,629163
"25-25 D, Main Road,Near St. Joseph Mat. Hs School,Thirthuapuram.",R.V. Hospital,Tamil Nadu,Kanniyakumari,629163
Tvm Main Road Marthandam Marthandam,Dr Isaac Bone And Joint Speciality Hospital,Tamil Nadu,Kanniyakumari,629165
"Vettumony, Thengappatinam Road, Marthandam",Dr Suresh Eye Clinic and Hospital,Tamil Nadu,Kanniyakumari,629165
"Main Road,,.",Lister Hospitals,Tamil Nadu,Kanniyakumari,629165
"3/34D, Main Road, Opposite C.S.I. Church Main Road, Marthandam,",Ppk Hospital,Tamil Nadu,Kanniyakumari,629165
"Main Road, Marthanadam,",Ramakrishna Hospital - Tamilnadu,Tamil Nadu,Kanniyakumari,629165
"Vettumoni, Marthandam",Shanthi Hospital,Tamil Nadu,Kanniyakumari,629165
"Railway Station Road, Near New Bus StandMarthandam",Vinod Hospital,Tamil Nadu,Kanniyakumari,629165
Mulagumoodu Post,Himadri Ayurvedic Hospital Paraicode,Tamil Nadu,Kanniyakumari,629167
Melpuram Pacode (Po),Babu Hospital,Tamil Nadu,Kanniyakumari,629168
"Main Road, Palliyadi,",Pratheep Nursing Home,Tamil Nadu,Kanniyakumari,629169
"Marthandam Road, Thengapattnam,",St. Luke Hospital,Tamil Nadu,Kanniyakumari,629173
"Thenkarai, Kumarakovil Jn,Thuckalay.",Kesavaa Hospital,Tamil Nadu,Kanniyakumari,629174
"16/1C, Palace Rd,,Kalkulam.",Asha Surgical Centre,Tamil Nadu,Kanniyakumari,629175
"Mandi, Thuckalay, Kanyakumari",Kumar Hospital,Tamil Nadu,Kanniyakumari,629175
"4/164 A, Main Road,",Vijaya Hospital,Tamil Nadu,Kanniyakumari,629175
Thuthoor,St Francis Hospital,Tamil Nadu,Kanniyakumari,629176
"Near Anna Statue, Main Road Colachel",Giri Thangam Polyclinic,Tamil Nadu,Kanniyakumari,629251
"15/11-A1, Main Road, Lakshmipuram",Green Orthopaedic Hospital,Tamil Nadu,Kanniyakumari,629251
",Near Sealaards Building,Near E.B.Substation,.",Helios Eye Hospital,Tamil Nadu,Kanniyakumari,629251
"Near Anna Status, Colachel & P.O.",James Hospital,Tamil Nadu,Kanniyakumari,629251
",Kalimar,Kalkulam.",Sri Padmanabha Hospital,Tamil Nadu,Kanniyakumari,629251
"Main Road, Manavalakurichy,",Dr. Mukundan`S Bhaskar Hospital,Tamil Nadu,Kanniyakumari,629252
"Aralvaimozhy,",Sri Renganayaki Hospital,Tamil Nadu,Kanniyakumari,629301
"Main Road, Aralvaimozhi,",Usha Hospital,Tamil Nadu,Kanniyakumari,629301
"4/23C,Thazhakudy Road,Vellamadam",Agasthiyar Muni Child Care Centre,Tamil Nadu,Kanniyakumari,629302
"West Coast Road,,.",Siva Hospital,Tamil Nadu,Kanniyakumari,629501
"33, Victoria Press Road, Nagercoil Nagercoil",Dr Jayaharan Memorial Hospital,Tamil Nadu,Kanniyakumari,629701
P B No: 7 Perumal Puram Kottaram (Post) Kanyakumari,Dr Kumaraswami Health Centre,Tamil Nadu,Kanniyakumari,629701
Kuzhithurai,Annammal Hospital,Tamil Nadu,Kanniyakumari,629702
",Mission Compound,.",A.J.Hospital,Tamil Nadu,Kanniyakumari,629703
",Theroor,Suchindrum.",Subramania Pillai Memorial Hospital,Tamil Nadu,Kanniyakumari,629704
Neyyoor,Internatinal Cancer Centre,Tamil Nadu,Kanniyakumari,629802
"Monday Market,.",Samuel Hospital,Tamil Nadu,Kanniyakumari,629802
1-33/A/2 Poosasthan Villai Thingal Nagar Thingal Nagar,Sharmila Hospital,Tamil Nadu,Kanniyakumari,629802
"Karungal Rd,,.",Flemy Grace Hosital,Tamil Nadu,Kanniyakumari,629804
"Derisanamcope, Kanyakumari",Dr.Y.Mahadeva Iyers Sri Sarada Ayurvedic Hospital,Tamil Nadu,Kanniyakumari,629851
Karungal RD,Flemy Grace Hospital,Tamil Nadu,Kanniyakumari,629804
Asaripallam,Kanyakumari Government Hospital and College,Tamil Nadu,Kanniyakumari,629201
"Eathamozhy Road, Kottar, Kanyakumari, Tamil Nadu",George Mission Hospital,Tamil Nadu,Kanniyakumari,629002
Government Hospital Campus,Government Hospital,Tamil Nadu,Kanniyakumari,629702
"KP Road, Nagercoil",Dr.Jeyasekharan Hospital and Nursing Home,Tamil Nadu,Kanniyakumari,629003
"A-8/10, Chennel Road, Agasteeswaram, Kanyakumari, Tamil Nadu",Naveen Hospital,Tamil Nadu,Kanniyakumari,629701
"Theroor, Suchindrum, Agasteeswaram, Kanyakumari, Tamil Nadu",Subramania Pillai Memorial Hospital,Tamil Nadu,Kanniyakumari,629701
"Main Road, Marthandam",Williams Children Hospital,Tamil Nadu,Kanniyakumari,629165
"17/48, A3, Lelabalan Building, Madavapuram, Near Vivekanandapuram\n",Santhigiri Ayurveda Heritage,Tamil Nadu,Kanniyakumari,629702
"M L Hospital, Rajakkamangalam Road, State Highway 46\nPunnai Nagar\n",M.L.Hospital,Tamil Nadu,Kanniyakumari,629004
"No. 30, North Prathatsnam Road",Dr G C Orthopaedic and Trauma Center,Tamil Nadu,Karur,639001
"No. 99, Old Bye Pass Road,",K G Hospital,Tamil Nadu,Karur,639001
"17C,Chairman Ramanujam St,",Karur Nursing Home,Tamil Nadu,Karur,639001
"9-D/12, East Ramakrishnapuram,",Nirmala Nursing Home,Tamil Nadu,Karur,639001
"78, New Street",S. K. Hospital,Tamil Nadu,Karur,639001
"163, Allwyn Nagar, Kaval Road",S.R.V. Loga Hospital ( P) Ltd.,Tamil Nadu,Karur,639001
Perumal Koil Street,Senthil Nursing Home,Tamil Nadu,Karur,639001
"No. 7/1 South Narasimmapram, Light House Corner Karur",Sri Anjana Nursing Home,Tamil Nadu,Karur,639001
"17, Srinivasapuram, Karur",Velan Eye Hospital,Tamil Nadu,Karur,639001
"16, Sengunthapuram Main Road,",Aarthy Eye Hospital,Tamil Nadu,Karur,639002
"5,80 Feet Road,Opposite Kvr Complex,Kavi Road.",Abishek Ortho Center,Tamil Nadu,Karur,639002
"26, Ramanujam Nagar, Kovai Road,",Amaravathi Hospital,Tamil Nadu,Karur,639002
"33/1, West Gowripuram,.",Ammaiyappa Hospital,Tamil Nadu,Karur,639002
"163, A-E, Allwyn Nagar, Kovai Road,",Apollo Logo Hospital,Tamil Nadu,Karur,639002
"33, Muthu Nagar, Thinappa Theatre North Side,",Deepa Kannan Hospital,Tamil Nadu,Karur,639002
"78, Ramanujam Nagar,Kovai Road,.",Gugan Hospital,Tamil Nadu,Karur,639002
No:23 Kovai Road Karur,Nalam Hospital And Vaccination Centre,Tamil Nadu,Karur,639002
West Kamarajapuram,Preeth Nursing Home,Tamil Nadu,Karur,639002
"Allwyn Nagar, Kovar Road",S and V Loga Hospital Pvt. Ltd.,Tamil Nadu,Karur,639002
"80, Feet Road,Sengunthapuram,.",S.G.Hospital,Tamil Nadu,Karur,639002
"132, Covai Road, Karur",Sankar Eye Hospital,Tamil Nadu,Karur,639002
"No. 121, Kovai Road, Vaiyaburi Nagar Bus Stop,Opposite To Hotel Badma",Vasan Eye Care Hospital(Unit Of Vasan Health Care Pvt Ltd),Tamil Nadu,Karur,639002
"98/3/1/1000J, Near Bus Stand, West Of Peris Plaza, Covai Road",Velan Eye Hospital,Tamil Nadu,Karur,639002
"32, Old Tollgate Street,Government Hospital Opposite.",Shri Krishna Swamy Memorial Hospital,Tamil Nadu,Karur,639104
"1-V- Elementry School Street,Trichy-Karur Road,.",Tmr Hospital,Tamil Nadu,Karur,639104
"53/2, East Street,.",Sugam Hospital,Tamil Nadu,Karur,639201
"No.75/29-A,Iv Cross,Co-Operative Colony",A R K Nursing Home,Tamil Nadu,Krishnagiri,635001
"36/A, 4Th Cross Co-Operative Colony, Krishnagiri",Dr. Agarwals Eye Hospital Ltd.,Tamil Nadu,Krishnagiri,635001
"269 G, Bangalore Main Road, Krishnagiri",Jeeva Hospital,Tamil Nadu,Krishnagiri,635001
"64 -Ii, Cross,Co-Operative Colony",Om Sakthi Hospital,Tamil Nadu,Krishnagiri,635001
Bangalore Road,Padma Poly Clinic,Tamil Nadu,Krishnagiri,635001
"No.67, 2Nd Cross,Co-Operative Colony Opposite To Old Post Office Road",Sre-Vidya Hospital,Tamil Nadu,Krishnagiri,635001
"Bangalore Rd,,Opp To Fathima Church.",St.Louis Hospital,Tamil Nadu,Krishnagiri,635001
"322,Bangalore Road,",T C R Hospital,Tamil Nadu,Krishnagiri,635001
"J.D Road, Barugur",Om Sakthi Clinic,Tamil Nadu,Krishnagiri,635104
"I St Cross, Indian Bank Rd",Mythri Hospital,Tamil Nadu,Krishnagiri,635107
"Bagalur Road,Opposite Maharishi Bala Vidya Mandir",Amma Hospital,Tamil Nadu,Krishnagiri,635109
"10 A, 1St Cross, Old Bangalore Road, Hosur Hosur",Ashok Hospital,Tamil Nadu,Krishnagiri,635109
"No 72/3, Rs Towers Bangalore Main Road Hosur",Dr Agarwals Eye Hospital Ltd,Tamil Nadu,Krishnagiri,635109
"27, Tank Street Hosur Hosur",Lakshmi Hospital,Tamil Nadu,Krishnagiri,635109
M G Road M G Road Hosur,Meera Nursing Home,Tamil Nadu,Krishnagiri,635109
"Plot No- 8, 9 Opposite Traffic Police Station, New Banglore, Bye Pass Road, Hosur",Narayana Hrudayalaya Superspecialty Clinic,Tamil Nadu,Krishnagiri,635109
